PERMNO,HdrCUSIP,Ticker,PERMCO,DlyCalDt,DlyPrc,DlyRetx
20648,77104910,RBLX,57999,2021-03-10,69.500000,
20648,77104910,RBLX,57999,2021-03-11,73.900000,0.063309
20648,77104910,RBLX,57999,2021-03-12,69.700000,-0.056834
20648,77104910,RBLX,57999,2021-03-15,72.150000,0.035151
20648,77104910,RBLX,57999,2021-03-16,77.000000,0.067221
20648,77104910,RBLX,57999,2021-03-17,76.790000,-0.002727
20648,77104910,RBLX,57999,2021-03-18,67.300000,-0.123584
20648,77104910,RBLX,57999,2021-03-19,70.500000,0.047548
20648,77104910,RBLX,57999,2021-03-22,70.000000,-0.007092
20648,77104910,RBLX,57999,2021-03-23,68.000000,-0.028571
20648,77104910,RBLX,57999,2021-03-24,64.500000,-0.051471
20648,77104910,RBLX,57999,2021-03-25,67.850000,0.051938
20648,77104910,RBLX,57999,2021-03-26,70.970000,0.045984
20648,77104910,RBLX,57999,2021-03-29,67.030000,-0.055516
20648,77104910,RBLX,57999,2021-03-30,65.170000,-0.027749
20648,77104910,RBLX,57999,2021-03-31,64.830000,-0.005217
20648,77104910,RBLX,57999,2021-04-01,67.340000,0.038717
20648,77104910,RBLX,57999,2021-04-05,70.760000,0.050787
20648,77104910,RBLX,57999,2021-04-06,71.320000,0.007914
20648,77104910,RBLX,57999,2021-04-07,68.730000,-0.036315
20648,77104910,RBLX,57999,2021-04-08,70.760000,0.029536
20648,77104910,RBLX,57999,2021-04-09,71.830000,0.015122
20648,77104910,RBLX,57999,2021-04-12,75.000000,0.044132
20648,77104910,RBLX,57999,2021-04-13,82.050000,0.094000
20648,77104910,RBLX,57999,2021-04-14,75.350000,-0.081658
20648,77104910,RBLX,57999,2021-04-15,79.660000,0.057200
20648,77104910,RBLX,57999,2021-04-16,75.850000,-0.047828
20648,77104910,RBLX,57999,2021-04-19,72.000000,-0.050758
20648,77104910,RBLX,57999,2021-04-20,69.240000,-0.038333
20648,77104910,RBLX,57999,2021-04-21,71.760000,0.036395
20648,77104910,RBLX,57999,2021-04-22,69.850000,-0.026616
20648,77104910,RBLX,57999,2021-04-23,71.780000,0.027631
20648,77104910,RBLX,57999,2021-04-26,74.900000,0.043466
20648,77104910,RBLX,57999,2021-04-27,74.350000,-0.007343
20648,77104910,RBLX,57999,2021-04-28,75.640000,0.017350
20648,77104910,RBLX,57999,2021-04-29,76.120000,0.006346
20648,77104910,RBLX,57999,2021-04-30,74.550000,-0.020625
20648,77104910,RBLX,57999,2021-05-03,71.080000,-0.046546
20648,77104910,RBLX,57999,2021-05-04,69.620000,-0.020540
20648,77104910,RBLX,57999,2021-05-05,66.590000,-0.043522
20648,77104910,RBLX,57999,2021-05-06,65.060000,-0.022976
20648,77104910,RBLX,57999,2021-05-07,67.900000,0.043652
20648,77104910,RBLX,57999,2021-05-10,64.000000,-0.057437
20648,77104910,RBLX,57999,2021-05-11,77.650000,0.213281
20648,77104910,RBLX,57999,2021-05-12,75.530000,-0.027302
20648,77104910,RBLX,57999,2021-05-13,69.680000,-0.077453
20648,77104910,RBLX,57999,2021-05-14,70.950000,0.018226
20648,77104910,RBLX,57999,2021-05-17,76.930000,0.084285
20648,77104910,RBLX,57999,2021-05-18,74.990000,-0.025218
20648,77104910,RBLX,57999,2021-05-19,75.220000,0.003067
20648,77104910,RBLX,57999,2021-05-20,76.330000,0.014757
20648,77104910,RBLX,57999,2021-05-21,82.500000,0.080833
20648,77104910,RBLX,57999,2021-05-24,89.230000,0.081576
20648,77104910,RBLX,57999,2021-05-25,89.320000,0.001009
20648,77104910,RBLX,57999,2021-05-26,89.710000,0.004366
20648,77104910,RBLX,57999,2021-05-27,97.470000,0.086501
20648,77104910,RBLX,57999,2021-05-28,93.770000,-0.037960
20648,77104910,RBLX,57999,2021-06-01,96.890000,0.033273
20648,77104910,RBLX,57999,2021-06-02,99.860000,0.030653
20648,77104910,RBLX,57999,2021-06-03,96.500000,-0.033647
20648,77104910,RBLX,57999,2021-06-04,99.570000,0.031813
20648,77104910,RBLX,57999,2021-06-07,93.440000,-0.061565
20648,77104910,RBLX,57999,2021-06-08,91.410000,-0.021725
20648,77104910,RBLX,57999,2021-06-09,91.040000,-0.004048
20648,77104910,RBLX,57999,2021-06-10,91.000000,-0.000439
20648,77104910,RBLX,57999,2021-06-11,92.820000,0.020000
20648,77104910,RBLX,57999,2021-06-14,87.800000,-0.054083
20648,77104910,RBLX,57999,2021-06-15,89.800000,0.022779
20648,77104910,RBLX,57999,2021-06-16,82.590000,-0.080290
20648,77104910,RBLX,57999,2021-06-17,82.980000,0.004722
20648,77104910,RBLX,57999,2021-06-18,81.140000,-0.022174
20648,77104910,RBLX,57999,2021-06-21,82.510000,0.016884
20648,77104910,RBLX,57999,2021-06-22,82.440000,-0.000848
20648,77104910,RBLX,57999,2021-06-23,84.860000,0.029355
20648,77104910,RBLX,57999,2021-06-24,87.340000,0.029225
20648,77104910,RBLX,57999,2021-06-25,87.000000,-0.003893
20648,77104910,RBLX,57999,2021-06-28,93.040000,0.069425
20648,77104910,RBLX,57999,2021-06-29,92.600000,-0.004729
20648,77104910,RBLX,57999,2021-06-30,89.980000,-0.028294
20648,77104910,RBLX,57999,2021-07-01,85.820000,-0.046232
20648,77104910,RBLX,57999,2021-07-02,86.200000,0.004428
20648,77104910,RBLX,57999,2021-07-06,86.980000,0.009049
20648,77104910,RBLX,57999,2021-07-07,86.400000,-0.006668
20648,77104910,RBLX,57999,2021-07-08,86.880000,0.005556
20648,77104910,RBLX,57999,2021-07-09,86.260000,-0.007136
20648,77104910,RBLX,57999,2021-07-12,86.540000,0.003246
20648,77104910,RBLX,57999,2021-07-13,84.020000,-0.029119
20648,77104910,RBLX,57999,2021-07-14,79.170000,-0.057724
20648,77104910,RBLX,57999,2021-07-15,77.280000,-0.023873
20648,77104910,RBLX,57999,2021-07-16,77.560000,0.003623
20648,77104910,RBLX,57999,2021-07-19,79.240000,0.021661
20648,77104910,RBLX,57999,2021-07-20,79.860000,0.007824
20648,77104910,RBLX,57999,2021-07-21,79.910000,0.000626
20648,77104910,RBLX,57999,2021-07-22,82.030000,0.026530
20648,77104910,RBLX,57999,2021-07-23,81.830000,-0.002438
20648,77104910,RBLX,57999,2021-07-26,77.630000,-0.051326
20648,77104910,RBLX,57999,2021-07-27,76.190000,-0.018550
20648,77104910,RBLX,57999,2021-07-28,79.130000,0.038588
20648,77104910,RBLX,57999,2021-07-29,76.850000,-0.028813
20648,77104910,RBLX,57999,2021-07-30,76.980000,0.001692
20648,77104910,RBLX,57999,2021-08-02,78.310000,0.017277
20648,77104910,RBLX,57999,2021-08-03,77.490000,-0.010471
20648,77104910,RBLX,57999,2021-08-04,81.650000,0.053684
20648,77104910,RBLX,57999,2021-08-05,80.570000,-0.013227
20648,77104910,RBLX,57999,2021-08-06,77.920000,-0.032891
20648,77104910,RBLX,57999,2021-08-09,85.510000,0.097408
20648,77104910,RBLX,57999,2021-08-10,85.080000,-0.005029
20648,77104910,RBLX,57999,2021-08-11,84.690000,-0.004584
20648,77104910,RBLX,57999,2021-08-12,82.650000,-0.024088
20648,77104910,RBLX,57999,2021-08-13,83.960000,0.015850
20648,77104910,RBLX,57999,2021-08-16,79.570000,-0.052287
20648,77104910,RBLX,57999,2021-08-17,78.680000,-0.011185
20648,77104910,RBLX,57999,2021-08-18,83.460000,0.060752
20648,77104910,RBLX,57999,2021-08-19,81.350000,-0.025282
20648,77104910,RBLX,57999,2021-08-20,82.770000,0.017455
20648,77104910,RBLX,57999,2021-08-23,85.060000,0.027667
20648,77104910,RBLX,57999,2021-08-24,89.260000,0.049377
20648,77104910,RBLX,57999,2021-08-25,90.340000,0.012099
20648,77104910,RBLX,57999,2021-08-26,85.810000,-0.050144
20648,77104910,RBLX,57999,2021-08-27,85.400000,-0.004778
20648,77104910,RBLX,57999,2021-08-30,81.870000,-0.041335
20648,77104910,RBLX,57999,2021-08-31,82.050000,0.002199
20648,77104910,RBLX,57999,2021-09-01,84.450000,0.029250
20648,77104910,RBLX,57999,2021-09-02,84.600000,0.001776
20648,77104910,RBLX,57999,2021-09-03,82.870000,-0.020449
20648,77104910,RBLX,57999,2021-09-07,84.970000,0.025341
20648,77104910,RBLX,57999,2021-09-08,83.510000,-0.017183
20648,77104910,RBLX,57999,2021-09-09,86.350000,0.034008
20648,77104910,RBLX,57999,2021-09-10,87.880000,0.017719
20648,77104910,RBLX,57999,2021-09-13,84.650000,-0.036755
20648,77104910,RBLX,57999,2021-09-14,82.330000,-0.027407
20648,77104910,RBLX,57999,2021-09-15,82.150000,-0.002186
20648,77104910,RBLX,57999,2021-09-16,81.420000,-0.008886
20648,77104910,RBLX,57999,2021-09-17,80.810000,-0.007492
20648,77104910,RBLX,57999,2021-09-20,77.770000,-0.037619
20648,77104910,RBLX,57999,2021-09-21,78.850000,0.013887
20648,77104910,RBLX,57999,2021-09-22,81.180000,0.029550
20648,77104910,RBLX,57999,2021-09-23,82.280000,0.013550
20648,77104910,RBLX,57999,2021-09-24,83.220000,0.011424
20648,77104910,RBLX,57999,2021-09-27,79.990000,-0.038813
20648,77104910,RBLX,57999,2021-09-28,77.050000,-0.036755
20648,77104910,RBLX,57999,2021-09-29,76.310000,-0.009604
20648,77104910,RBLX,57999,2021-09-30,75.550000,-0.009959
20648,77104910,RBLX,57999,2021-10-01,75.590000,0.000529
20648,77104910,RBLX,57999,2021-10-04,77.800000,0.029237
20648,77104910,RBLX,57999,2021-10-05,72.570000,-0.067224
20648,77104910,RBLX,57999,2021-10-06,73.700000,0.015571
20648,77104910,RBLX,57999,2021-10-07,74.800000,0.014925
20648,77104910,RBLX,57999,2021-10-08,70.440000,-0.058289
20648,77104910,RBLX,57999,2021-10-11,70.220000,-0.003123
20648,77104910,RBLX,57999,2021-10-12,71.900000,0.023925
20648,77104910,RBLX,57999,2021-10-13,74.780000,0.040056
20648,77104910,RBLX,57999,2021-10-14,74.350000,-0.005750
20648,77104910,RBLX,57999,2021-10-15,76.580000,0.029993
20648,77104910,RBLX,57999,2021-10-18,77.800000,0.015931
20648,77104910,RBLX,57999,2021-10-19,79.170000,0.017609
20648,77104910,RBLX,57999,2021-10-20,78.580000,-0.007452
20648,77104910,RBLX,57999,2021-10-21,83.190000,0.058666
20648,77104910,RBLX,57999,2021-10-22,83.980000,0.009496
20648,77104910,RBLX,57999,2021-10-25,83.210000,-0.009169
20648,77104910,RBLX,57999,2021-10-26,80.890000,-0.027881
20648,77104910,RBLX,57999,2021-10-27,80.680000,-0.002596
20648,77104910,RBLX,57999,2021-10-28,82.750000,0.025657
20648,77104910,RBLX,57999,2021-10-29,84.020000,0.015347
20648,77104910,RBLX,57999,2021-11-01,81.140000,-0.034278
20648,77104910,RBLX,57999,2021-11-02,79.590000,-0.019103
20648,77104910,RBLX,57999,2021-11-03,78.360000,-0.015454
20648,77104910,RBLX,57999,2021-11-04,82.530000,0.053216
20648,77104910,RBLX,57999,2021-11-05,77.990000,-0.055010
20648,77104910,RBLX,57999,2021-11-08,77.000000,-0.012694
20648,77104910,RBLX,57999,2021-11-09,109.520000,0.422338
20648,77104910,RBLX,57999,2021-11-10,95.260000,-0.130205
20648,77104910,RBLX,57999,2021-11-11,98.120000,0.030023
20648,77104910,RBLX,57999,2021-11-12,107.580000,0.096413
20648,77104910,RBLX,57999,2021-11-15,108.060000,0.004462
20648,77104910,RBLX,57999,2021-11-16,116.180000,0.075143
20648,77104910,RBLX,57999,2021-11-17,124.700000,0.073334
20648,77104910,RBLX,57999,2021-11-18,126.120000,0.011387
20648,77104910,RBLX,57999,2021-11-19,134.720000,0.068189
20648,77104910,RBLX,57999,2021-11-22,120.220000,-0.107631
20648,77104910,RBLX,57999,2021-11-23,114.870000,-0.044502
20648,77104910,RBLX,57999,2021-11-24,124.230000,0.081483
20648,77104910,RBLX,57999,2021-11-26,122.650000,-0.012718
20648,77104910,RBLX,57999,2021-11-29,129.360000,0.054709
20648,77104910,RBLX,57999,2021-11-30,126.100000,-0.025201
20648,77104910,RBLX,57999,2021-12-01,113.410000,-0.100634
20648,77104910,RBLX,57999,2021-12-02,116.920000,0.030950
20648,77104910,RBLX,57999,2021-12-03,113.790000,-0.026770
20648,77104910,RBLX,57999,2021-12-06,113.250000,-0.004746
20648,77104910,RBLX,57999,2021-12-07,115.990000,0.024194
20648,77104910,RBLX,57999,2021-12-08,124.780000,0.075782
20648,77104910,RBLX,57999,2021-12-09,116.300000,-0.067960
20648,77104910,RBLX,57999,2021-12-10,115.890000,-0.003525
20648,77104910,RBLX,57999,2021-12-13,111.770000,-0.035551
20648,77104910,RBLX,57999,2021-12-14,107.670000,-0.036682
20648,77104910,RBLX,57999,2021-12-15,97.950000,-0.090276
20648,77104910,RBLX,57999,2021-12-16,95.210000,-0.027973
20648,77104910,RBLX,57999,2021-12-17,102.400000,0.075517
20648,77104910,RBLX,57999,2021-12-20,98.690000,-0.036230
20648,77104910,RBLX,57999,2021-12-21,102.590000,0.039518
20648,77104910,RBLX,57999,2021-12-22,102.770000,0.001755
20648,77104910,RBLX,57999,2021-12-23,101.820000,-0.009244
20648,77104910,RBLX,57999,2021-12-27,105.010000,0.031330
20648,77104910,RBLX,57999,2021-12-28,98.740000,-0.059709
20648,77104910,RBLX,57999,2021-12-29,97.340000,-0.014179
20648,77104910,RBLX,57999,2021-12-30,100.530000,0.032772
20648,77104910,RBLX,57999,2021-12-31,103.160000,0.026161
20648,77104910,RBLX,57999,2022-01-03,98.810000,-0.042168
20648,77104910,RBLX,57999,2022-01-04,95.150000,-0.037041
20648,77104910,RBLX,57999,2022-01-05,88.540000,-0.069469
20648,77104910,RBLX,57999,2022-01-06,89.200000,0.007454
20648,77104910,RBLX,57999,2022-01-07,84.370000,-0.054148
20648,77104910,RBLX,57999,2022-01-10,85.520000,0.013630
20648,77104910,RBLX,57999,2022-01-11,89.040000,0.041160
20648,77104910,RBLX,57999,2022-01-12,89.060000,0.000225
20648,77104910,RBLX,57999,2022-01-13,80.180000,-0.099708
20648,77104910,RBLX,57999,2022-01-14,79.050000,-0.014093
20648,77104910,RBLX,57999,2022-01-18,77.210000,-0.023276
20648,77104910,RBLX,57999,2022-01-19,76.160000,-0.013599
20648,77104910,RBLX,57999,2022-01-20,75.390000,-0.010110
20648,77104910,RBLX,57999,2022-01-21,68.930000,-0.085688
20648,77104910,RBLX,57999,2022-01-24,70.740000,0.026259
20648,77104910,RBLX,57999,2022-01-25,65.290000,-0.077043
20648,77104910,RBLX,57999,2022-01-26,63.020000,-0.034768
20648,77104910,RBLX,57999,2022-01-27,57.060000,-0.094573
20648,77104910,RBLX,57999,2022-01-28,58.180000,0.019628
20648,77104910,RBLX,57999,2022-01-31,65.860000,0.132004
20648,77104910,RBLX,57999,2022-02-01,67.750000,0.028697
20648,77104910,RBLX,57999,2022-02-02,66.170000,-0.023321
20648,77104910,RBLX,57999,2022-02-03,60.670000,-0.083119
20648,77104910,RBLX,57999,2022-02-04,63.740000,0.050602
20648,77104910,RBLX,57999,2022-02-07,63.060000,-0.010668
20648,77104910,RBLX,57999,2022-02-08,64.430000,0.021725
20648,77104910,RBLX,57999,2022-02-09,70.480000,0.093900
20648,77104910,RBLX,57999,2022-02-10,69.920000,-0.007946
20648,77104910,RBLX,57999,2022-02-11,66.810000,-0.044479
20648,77104910,RBLX,57999,2022-02-14,68.320000,0.022601
20648,77104910,RBLX,57999,2022-02-15,73.300000,0.072892
20648,77104910,RBLX,57999,2022-02-16,53.870000,-0.265075
20648,77104910,RBLX,57999,2022-02-17,54.490000,0.011509
20648,77104910,RBLX,57999,2022-02-18,49.720000,-0.087539
20648,77104910,RBLX,57999,2022-02-22,48.210000,-0.030370
20648,77104910,RBLX,57999,2022-02-23,45.680000,-0.052479
20648,77104910,RBLX,57999,2022-02-24,50.100000,0.096760
20648,77104910,RBLX,57999,2022-02-25,50.050000,-0.000998
20648,77104910,RBLX,57999,2022-02-28,51.570000,0.030370
20648,77104910,RBLX,57999,2022-03-01,50.220000,-0.026178
20648,77104910,RBLX,57999,2022-03-02,48.450000,-0.035245
20648,77104910,RBLX,57999,2022-03-03,45.240000,-0.066254
20648,77104910,RBLX,57999,2022-03-04,42.290000,-0.065208
20648,77104910,RBLX,57999,2022-03-07,41.300000,-0.023410
20648,77104910,RBLX,57999,2022-03-08,41.910000,0.014770
20648,77104910,RBLX,57999,2022-03-09,44.380000,0.058936
20648,77104910,RBLX,57999,2022-03-10,41.470000,-0.065570
20648,77104910,RBLX,57999,2022-03-11,39.240000,-0.053774
20648,77104910,RBLX,57999,2022-03-14,36.680000,-0.065240
20648,77104910,RBLX,57999,2022-03-15,37.870000,0.032443
20648,77104910,RBLX,57999,2022-03-16,41.510000,0.096118
20648,77104910,RBLX,57999,2022-03-17,46.350000,0.116598
20648,77104910,RBLX,57999,2022-03-18,49.620000,0.070550
20648,77104910,RBLX,57999,2022-03-21,46.620000,-0.060459
20648,77104910,RBLX,57999,2022-03-22,50.510000,0.083441
20648,77104910,RBLX,57999,2022-03-23,50.710000,0.003960
20648,77104910,RBLX,57999,2022-03-24,50.790000,0.001578
20648,77104910,RBLX,57999,2022-03-25,47.070000,-0.073243
20648,77104910,RBLX,57999,2022-03-28,48.400000,0.028256
20648,77104910,RBLX,57999,2022-03-29,50.920000,0.052066
20648,77104910,RBLX,57999,2022-03-30,48.120000,-0.054988
20648,77104910,RBLX,57999,2022-03-31,46.240000,-0.039069
20648,77104910,RBLX,57999,2022-04-01,46.020000,-0.004758
20648,77104910,RBLX,57999,2022-04-04,50.020000,0.086919
20648,77104910,RBLX,57999,2022-04-05,49.030000,-0.019792
20648,77104910,RBLX,57999,2022-04-06,45.890000,-0.064042
20648,77104910,RBLX,57999,2022-04-07,44.730000,-0.025278
20648,77104910,RBLX,57999,2022-04-08,43.100000,-0.036441
20648,77104910,RBLX,57999,2022-04-11,44.020000,0.021346
20648,77104910,RBLX,57999,2022-04-12,43.000000,-0.023171
20648,77104910,RBLX,57999,2022-04-13,44.970000,0.045814
20648,77104910,RBLX,57999,2022-04-14,42.360000,-0.058039
20648,77104910,RBLX,57999,2022-04-18,40.850000,-0.035647
20648,77104910,RBLX,57999,2022-04-19,42.000000,0.028152
20648,77104910,RBLX,57999,2022-04-20,36.750000,-0.125000
20648,77104910,RBLX,57999,2022-04-21,34.610000,-0.058231
20648,77104910,RBLX,57999,2022-04-22,34.350000,-0.007512
20648,77104910,RBLX,57999,2022-04-25,34.610000,0.007569
20648,77104910,RBLX,57999,2022-04-26,31.760000,-0.082346
20648,77104910,RBLX,57999,2022-04-27,30.360000,-0.044081
20648,77104910,RBLX,57999,2022-04-28,32.110000,0.057642
20648,77104910,RBLX,57999,2022-04-29,30.650000,-0.045469
20648,77104910,RBLX,57999,2022-05-02,32.680000,0.066232
20648,77104910,RBLX,57999,2022-05-03,33.100000,0.012852
20648,77104910,RBLX,57999,2022-05-04,34.880000,0.053776
20648,77104910,RBLX,57999,2022-05-05,30.440000,-0.127294
20648,77104910,RBLX,57999,2022-05-06,27.810000,-0.086399
20648,77104910,RBLX,57999,2022-05-09,24.610000,-0.115067
20648,77104910,RBLX,57999,2022-05-10,23.190000,-0.057700
20648,77104910,RBLX,57999,2022-05-11,23.970000,0.033635
20648,77104910,RBLX,57999,2022-05-12,28.580000,0.192324
20648,77104910,RBLX,57999,2022-05-13,32.970000,0.153604
20648,77104910,RBLX,57999,2022-05-16,32.140000,-0.025174
20648,77104910,RBLX,57999,2022-05-17,31.940000,-0.006223
20648,77104910,RBLX,57999,2022-05-18,32.550000,0.019098
20648,77104910,RBLX,57999,2022-05-19,34.350000,0.055300
20648,77104910,RBLX,57999,2022-05-20,31.600000,-0.080058
20648,77104910,RBLX,57999,2022-05-23,30.060000,-0.048734
20648,77104910,RBLX,57999,2022-05-24,27.070000,-0.099468
20648,77104910,RBLX,57999,2022-05-25,28.930000,0.068711
20648,77104910,RBLX,57999,2022-05-26,30.590000,0.057380
20648,77104910,RBLX,57999,2022-05-27,31.810000,0.039882
20648,77104910,RBLX,57999,2022-05-31,29.940000,-0.058787
20648,77104910,RBLX,57999,2022-06-01,28.940000,-0.033400
20648,77104910,RBLX,57999,2022-06-02,33.480000,0.156876
20648,77104910,RBLX,57999,2022-06-03,30.000000,-0.103943
20648,77104910,RBLX,57999,2022-06-06,31.160000,0.038667
20648,77104910,RBLX,57999,2022-06-07,31.440000,0.008986
20648,77104910,RBLX,57999,2022-06-08,32.830000,0.044211
20648,77104910,RBLX,57999,2022-06-09,30.500000,-0.070972
20648,77104910,RBLX,57999,2022-06-10,27.760000,-0.089836
20648,77104910,RBLX,57999,2022-06-13,26.460000,-0.046830
20648,77104910,RBLX,57999,2022-06-14,26.120000,-0.012850
20648,77104910,RBLX,57999,2022-06-15,28.900000,0.106432
20648,77104910,RBLX,57999,2022-06-16,24.690000,-0.145675
20648,77104910,RBLX,57999,2022-06-17,26.870000,0.088295
20648,77104910,RBLX,57999,2022-06-21,29.640000,0.103089
20648,77104910,RBLX,57999,2022-06-22,31.120000,0.049933
20648,77104910,RBLX,57999,2022-06-23,34.480000,0.107969
20648,77104910,RBLX,57999,2022-06-24,36.420000,0.056265
20648,77104910,RBLX,57999,2022-06-27,35.930000,-0.013454
20648,77104910,RBLX,57999,2022-06-28,34.490000,-0.040078
20648,77104910,RBLX,57999,2022-06-29,34.020000,-0.013627
20648,77104910,RBLX,57999,2022-06-30,32.860000,-0.034098
20648,77104910,RBLX,57999,2022-07-01,35.070000,0.067255
20648,77104910,RBLX,57999,2022-07-05,39.990000,0.140291
20648,77104910,RBLX,57999,2022-07-06,37.950000,-0.051013
20648,77104910,RBLX,57999,2022-07-07,39.520000,0.041370
20648,77104910,RBLX,57999,2022-07-08,41.250000,0.043775
20648,77104910,RBLX,57999,2022-07-11,38.410000,-0.068848
20648,77104910,RBLX,57999,2022-07-12,38.220000,-0.004947
20648,77104910,RBLX,57999,2022-07-13,37.080000,-0.029827
20648,77104910,RBLX,57999,2022-07-14,37.490000,0.011057
20648,77104910,RBLX,57999,2022-07-15,39.770000,0.060816
20648,77104910,RBLX,57999,2022-07-18,39.750000,-0.000503
20648,77104910,RBLX,57999,2022-07-19,39.850000,0.002516
20648,77104910,RBLX,57999,2022-07-20,40.760000,0.022836
20648,77104910,RBLX,57999,2022-07-21,41.920000,0.028459
20648,77104910,RBLX,57999,2022-07-22,39.400000,-0.060115
20648,77104910,RBLX,57999,2022-07-25,39.840000,0.011168
20648,77104910,RBLX,57999,2022-07-26,39.000000,-0.021084
20648,77104910,RBLX,57999,2022-07-27,41.950000,0.075641
20648,77104910,RBLX,57999,2022-07-28,42.980000,0.024553
